Contract#;Serial;Model Name;Item Code;Item Name;Location Name;LFV
R51820/23;2TQ17950;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R5965/14;WBC11293;IPRC10000;9116B001AB;IPR C10000VPSR ME US (1);ASSOCIACAO UNIVERSITARIA INTERAMERICANA;39.01.06
R5965/14;WBE15674;IPRC10000;9118B001AB;IPR C10000VPSR FS US/J (2);ASSOCIACAO UNIVERSITARIA INTERAMERICANA;39.01.06
R5965/14;WBJ11930;IPRC10000;9120B002AB;IPR C10000VPSR PSU US (3);ASSOCIACAO UNIVERSITARIA INTERAMERICANA;39.01.06
R6078/15;3AP00846;IRADXC5750I;4301C019AA;IR-ADV DX C5750I 120V BRZ;RADIO E TELEVISAO BANDEIRANTES SA;41.25.01
R15312/17;32M00513;IRC3226I;4909C025AA;IR C3226I LTN 120V BRZ;BEACON SCHOOL ENSINO INTEGRADO LTDA;08.14.01
R2178/06;35C02684;IR1643;5160C005AA;IR1643IF II 110-127VBR;GLOBALFOOD SISTEMAS INGREDIENTES E TECNOLOGIA PARA ALIMENTOS;06.01.01
R2178/06;35C02687;IR1643;5160C005AA;IR1643IF II 110-127VBR;GLOBALFOOD SISTEMAS INGREDIENTES E TECNOLOGIA PARA ALIMENTOS;06.01.01
R2178/06;35C03490;IR1643;5160C005AA;IR1643IF II 110-127VBR;GLOBALFOOD SISTEMAS INGREDIENTES E TECNOLOGIA PARA ALIMENTOS;06.01.01
R2178/06;35C03336;IR1643;5160C005AA;IR1643IF II 110-127VBR;GLOBALFOOD SISTEMAS INGREDIENTES E TECNOLOGIA PARA ALIMENTOS;06.01.01
R2178/06;35C02951;IR1643;5160C005AA;IR1643IF II 110-127VBR;GLOBALFOOD SISTEMAS INGREDIENTES E TECNOLOGIA PARA ALIMENTOS;06.01.01
R15363/18;UMW03934;IRA4551;1408C013AA;IR ADV 4551I BRZ;SERBOM ARMAZENS GERAIS FRIGORIFICOS LTDA;81.21.01
R15363/18;UMW05328;IRA4551;1408C013AB;IR-ADV 4551I BRZ;SERBOM ARMAZENS GERAIS FRIGORIFICOS LTDA;81.21.01
R46619/22;3NQ00520;IRADXC3826I;4914C033AA;IR-ADV DX C3826I 120V BRZ;EDF EN DO BRASIL PARTICIPACOES LTDA;35.15.01
R46619/22;3NQ00506;IRADXC3826I;4914C033AA;IR-ADV DX C3826I 120V BRZ;EDF EN DO BRASIL PARTICIPACOES LTDA;35.15.01
R46619/22;3NQ00507;IRADXC3826I;4914C033AA;IR-ADV DX C3826I 120V BRZ;EDF EN DO BRASIL PARTICIPACOES LTDA;35.15.01
R46619/22;3NQ00570;IRADXC3826I;4914C033AA;IR-ADV DX C3826I 120V BRZ;EDF EN DO BRASIL PARTICIPACOES LTDA;35.15.01
R46935/22;35C03952;IR1643;5160C005AA;IR1643IF II 110-127VBR;NTT BRASIL COMERCIO E SERVICOS DE TECNOLOGIA LTDA;06.01.01
R14428/17;35C03957;IR1643;5160C005AA;IR1643IF II 110-127VBR;CANON MEDICAL SYSTEMS DO BRASIL LTDA;06.01.01
R14428/17;35C03997;IR1643;5160C005AA;IR1643IF II 110-127VBR;CANON MEDICAL SYSTEMS DO BRASIL LTDA;06.01.01
R14428/17;35C04129;IR1643;5160C005AA;IR1643IF II 110-127VBR;CANON MEDICAL SYSTEMS DO BRASIL LTDA;06.01.01
R14428/17;35C04205;IR1643;5160C005AA;IR1643IF II 110-127VBR;CANON MEDICAL SYSTEMS DO BRASIL LTDA;06.01.01
R47583/22;35C04173;IR1643;5160C005AA;IR1643IF II 110-127VBR;AUTO POSTO BANDEIRA PAULISTA LTDA;06.01.01
R15312/17;35C05926;IR1643;5160C005AA;IR1643IF II 110-127VBR;BEACON SCHOOL ENSINO INTEGRADO LTDA;06.01.01
R15312/17;35C05828;IR1643;5160C005AA;IR1643IF II 110-127VBR;BEACON SCHOOL ENSINO INTEGRADO LTDA;06.01.01
R15312/17;35C05839;IR1643;5160C005AA;IR1643IF II 110-127VBR;BEACON SCHOOL ENSINO INTEGRADO LTDA;06.01.01
R15312/17;35C05824;IR1643;5160C005AA;IR1643IF II 110-127VBR;BEACON SCHOOL ENSINO INTEGRADO LTDA;06.01.01
R15312/17;35C05901;IR1643;5160C005AA;IR1643IF II 110-127VBR;BEACON SCHOOL ENSINO INTEGRADO LTDA;06.01.01
R6579/18;32M00648;IRC3226I;4909C025AA;IR C3226I LTN 120V BRZ;COMERCIO E IMPORTACAO SERTIC LTDA;08.14.01
R6579/18;32M00641;IRC3226I;4909C025AA;IR C3226I LTN 120V BRZ;COMERCIO E IMPORTACAO SERTIC LTDA;08.14.01
R6579/18;32M00615;IRC3226I;4909C025AA;IR C3226I LTN 120V BRZ;COMERCIO E IMPORTACAO SERTIC LTDA;08.14.01
R2168/06;4BA01065;IRADX4745I;4054C014AA;IR-ADV 4745I 120V BR;MAYEKAWA DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA;41.25.01
R46935/22;35C04972;IR1643;5160C005AA;IR1643IF II 110-127VBR;NTT BRASIL COMERCIO E SERVICOS DE TECNOLOGIA LTDA;06.01.01
R48354/22;35C30225;IR1643;5160C005AB;IR1643IF II 110-127VBR;CONAB CONSERBOMBAS LTDA;06.01.01
R48354/22;35C30134;IR1643;5160C005AB;IR1643IF II 110-127VBR;CONAB CONSERBOMBAS LTDA;06.01.01
R48354/22;35C30041;IR1643;5160C005AB;IR1643IF II 110-127VBR;CONAB CONSERBOMBAS LTDA;06.01.01
R48354/22;35C30448;IR1643;5160C005AB;IR1643IF II 110-127VBR;CONAB CONSERBOMBAS LTDA;06.01.01
R46935/22;3DG29442;MF1127;3101C079AA;MF1127C 120-127V BRZ;NTT BRASIL COMERCIO E SERVICOS DE TECNOLOGIA LTDA;14.01.01
R46935/22;3DG29337;MF1127;3101C079AA;MF1127C 120-127V BRZ;NTT BRASIL COMERCIO E SERVICOS DE TECNOLOGIA LTDA;14.01.01
R46935/22;3DG29330;MF1127;3101C079AA;MF1127C 120-127V BRZ;NTT BRASIL COMERCIO E SERVICOS DE TECNOLOGIA LTDA;14.01.01
R46935/22;3DG29414;MF1127;3101C079AA;MF1127C 120-127V BRZ;NTT BRASIL COMERCIO E SERVICOS DE TECNOLOGIA LTDA;14.01.01
R46935/22;3DG29439;MF1127;3101C079AA;MF1127C 120-127V BRZ;NTT BRASIL COMERCIO E SERVICOS DE TECNOLOGIA LTDA;14.01.01
R49880/23;35C32525;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO CESP;06.01.01
R49880/23;35C32535;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO CESP;06.01.01
R49880/23;35C32536;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO CESP;06.01.01
R49880/23;35C32538;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO CESP;06.01.01
R15312/17;32M01140;IRC3226I;4909C054AA;IR C3226I LTN 120V KIT;BEACON PROGRAMAS OPTATIVOS LTDA BEACON SCHOOL;08.14.01
R15312/17;35C32439;IR1643;5160C005AB;IR1643IF II 110-127VBR;BEACON PROGRAMAS OPTATIVOS LTDA BEACON SCHOOL;06.01.01
R49880/23;3DG42181;MF1127;3101C079AA;MF1127C 120-127V BRZ;FUNDACAO CESP;14.01.01
R49880/23;3DG42164;MF1127;3101C079AA;MF1127C 120-127V BRZ;FUNDACAO CESP;14.01.01
R49880/23;3DG42188;MF1127;3101C079AA;MF1127C 120-127V BRZ;FUNDACAO CESP;14.01.01
R49880/23;3DG42180;MF1127;3101C079AA;MF1127C 120-127V BRZ;FUNDACAO CESP;14.01.01
R49592/23;23D18028;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;23D18075;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;23D18746;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;23D19335;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;23D18989;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;23D19063;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;23D18239;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;23D19922;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;23D19924;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;23D18285;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;35C30677;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30710;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30853;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30887;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30926;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30851;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;23D19938;IRADX527IF;3893C019AA;IR-ADV DX 527IF 120V BRZ;FUNDACAO VISCONDE DE PORTO SEGURO;41.25.01
R49592/23;35C30872;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30810;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30823;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30827;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30812;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30709;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30767;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30764;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30852;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30645;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30643;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30742;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30765;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30684;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30931;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30778;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30941;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30689;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30860;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30682;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30769;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30757;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30936;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30759;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30945;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30871;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30686;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30688;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30803;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30806;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30727;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30728;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30910;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30912;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30641;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30815;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30805;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30670;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30679;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30708;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30814;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30706;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30824;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30821;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30934;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30857;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30648;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30908;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30911;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30740;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30756;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30722;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30749;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30915;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30781;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30681;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30772;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30799;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30854;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30886;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30885;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
R49592/23;35C30884;IR1643;5160C005AB;IR1643IF II 110-127VBR;FUNDACAO VISCONDE DE PORTO SEGURO;06.01.01
